gid spike-times
0 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
1 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
2 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
3 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
4 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
5 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
6 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
7 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
8 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
9 0,80,160,240,625,705,785,865,1250,1330,1410,1490,1875,1955,2035,2115,2500,2580,2660,2740
10 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
11 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
12 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
13 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
14 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
15 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
16 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
17 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
18 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
19 3125,3205,3285,3365,3750,3830,3910,3990,4375,4455,4535,4615,5000,5080,5160,5240,5625,5705,5785,5865,6250,6330,6410,6490,6875,6955,7035,7115,7500,7580,7660,7740,8125,8205,8285,8365,8750,8830,8910,8990,9375,9455,9535,9615
